,NADH,cell_index,celltype,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,Label_Count,Group
294,neurons-009,217,cell,326.7765363,496.8096592,2668.421676,72.19622514,1.099485363,89.31284916,133.7862296,1827.102179,87.36171564,12.63828436,1.036062291,0.778083596,1092.013784,345.895512,94.94614267,80.31248212,320.0679572,4.730630211,0.118119302,23.45596884,25.67631622,208.549196,1.471450051,1.471450045,0.102861335,0.062782632,96.71969327,40.42516175,179,159,AC
303,neurons-009,217,cyto,330.4779874,494.3436101,2656.346855,72.15257296,1.105449434,88.13836478,133.1286987,1809.899245,87.37493082,12.62506918,1.031561145,0.781570318,1088.911392,342.8049986,98.04331492,80.66586671,315.2497541,4.530642132,0.116177127,22.93288998,26.54587563,211.4902036,1.476584698,1.476584691,0.104292668,0.063410798,101.0226154,40.82284287,159,159,AC
316,neurons-009,236,cell,318.1714286,482.2424735,2616.615061,74.4478,1.098882473,75.18367347,136.0350914,1747.862286,88.08265918,11.91734094,1.021504722,0.801257585,1015.776985,327.2760482,90.31871618,82.12880308,380.1840368,4.5862805,0.123765855,21.68465638,19.78732909,151.6072387,1.309683048,1.309682766,0.128627752,0.064938177,99.87393093,34.61558424,245,233,AC
323,neurons-009,236,cyto,322.5236052,483.4845923,2613.660515,74.33801974,1.104481665,76.29184549,135.7461133,1750.155665,88.05826438,11.94173575,1.02287906,0.800962176,1018.741072,327.6224081,89.64359796,82.5023498,373.5897753,4.569105514,0.12231512,21.62116565,19.77341455,153.5193827,1.326444424,1.326444128,0.129530142,0.066025128,98.6154314,34.67626092,233,233,AC
333,neurons-009,246,cell,291.8059701,566.1562836,2740.16597,75.20779552,1.144540731,71.80597015,144.6077343,1891.010299,89.08091642,10.91908358,1.035587657,0.789509164,1095.772832,335.2629026,96.15820909,110.1180663,385.0337907,4.277855232,0.126597792,14.3000729,26.53394309,139.2433313,1.096921571,1.096922969,0.096960522,0.068008883,114.5812094,46.67469602,67,67,AC
343,neurons-009,246,cyto,291.8059701,566.1562836,2740.16597,75.20779552,1.144540731,71.80597015,144.6077343,1891.010299,89.08091642,10.91908358,1.035587657,0.789509164,1095.772832,335.2629026,96.15820909,110.1180663,385.0337907,4.277855232,0.126597792,14.3000729,26.53394309,139.2433313,1.096921571,1.096922969,0.096960522,0.068008883,114.5812094,46.67469602,67,67,AC
353,neurons-009,255,cell,323.7931034,487.9271379,2643.842586,74.03503103,1.157321241,98.24137931,135.6988448,1745.21069,87.58403793,12.4159619,1.015735655,0.760724227,1039.809497,334.4997645,81.1389881,66.39255868,300.2066674,5.015907747,0.125386382,19.35205719,14.17929188,120.3595647,1.332667994,1.332668377,0.090327943,0.052998342,94.3913456,19.08677252,58,57,AC
363,neurons-009,255,cyto,326.754386,489.4598772,2643.442456,73.96040877,1.157244772,98.33333333,135.8935263,1748.724737,87.63692807,12.36307175,1.015876632,0.763105354,1042.392771,334.3372084,78.63461631,65.93931786,302.8596197,5.027908608,0.126499585,19.51129099,14.22691227,118.3896398,1.28162935,1.281629748,0.091124436,0.050242046,93.13895671,19.21588769,57,57,AC
373,neurons-009,28,cell,321.7,477.304425,2634.247,73.67169208,1.093580763,90.76666667,133.9152954,1828.213,87.02264625,12.97735338,1.017455663,0.769164091,1039.382241,353.4062864,113.7690607,61.94272856,299.7177284,4.091580306,0.132170922,29.89360025,23.80858366,142.4069421,1.368694396,1.368695334,0.120057795,0.078694961,87.99065009,42.42137205,240,236,AC
383,neurons-009,28,cyto,323.4364407,478.9338983,2636.727712,73.69210169,1.095724542,90.98305085,133.2027581,1825.766271,87.0195089,12.98049072,1.017642555,0.769687017,1040.719492,352.5233103,113.9287207,60.3285499,301.3703411,4.117958255,0.131920594,30.07790821,23.1515763,141.7319062,1.379054492,1.37905544,0.121052668,0.079235316,87.30026508,42.05743874,236,236,AC
393,neurons-009,38,cell,344.5223881,484.5379701,2698.22791,77.61461642,1.128463194,97.7761194,105.8126701,1845.370746,88.66974478,11.33025418,1.048975597,0.766141841,969.3722048,301.7349739,122.330818,80.68919688,369.4290062,4.467541939,0.115703509,21.91638442,12.88052832,101.6435363,1.622994743,1.622995832,0.109620034,0.068416367,93.01652911,29.61985229,67,64,AC
403,neurons-009,38,cyto,347.9375,484.7754219,2699.172813,77.6983,1.130736406,97.890625,105.7946703,1846.216406,88.64997188,11.35002703,1.046134141,0.767763356,967.5225997,302.0992092,123.3118224,82.4864527,377.0886816,4.541743593,0.114574953,22.41535556,13.14156805,103.446522,1.656706888,1.656708019,0.110806768,0.068861063,94.64524283,30.13478603,64,64,AC
411,neurons-009,47,cell,320.8659794,466.7347113,2553.818557,77.99767835,1.116410392,72.79381443,139.3304619,1901.17701,88.30767526,11.69232196,0.978249392,0.796296054,916.2346207,343.9409688,128.7543388,64.34039913,390.6358539,3.832617927,0.112072092,22.97595579,27.26111979,151.7310365,1.999113068,1.99911756,0.124814378,0.084386726,75.55914612,52.8305739,97,92,AC
421,neurons-009,47,cyto,325.1195652,467.0322935,2565.188587,78.23984022,1.118227043,73.72826087,139.4644337,1893.298043,88.19073152,11.80926576,0.97733375,0.795762067,913.9484426,345.2989575,129.9392793,63.78617996,397.1627018,3.752227691,0.112765499,23.06803281,27.59642055,149.1838626,1.975863507,1.975867827,0.125523396,0.085759851,74.73413249,53.16157283,92,92,AC
431,neurons-009,57,cell,310.0518519,477.2859704,2758.541481,76.40290741,1.095113089,67.81481481,148.2634259,1880.545556,88.17534815,11.82465163,1.010374822,0.806225591,1002.333747,352.2555236,118.6294443,76.3229199,458.7209787,4.405682082,0.126831154,18.84072486,26.29518901,132.8586962,1.327577929,1.327578508,0.105263094,0.071493593,86.65373939,40.23017053,135,120,AC
441,neurons-009,57,cyto,319.1,480.0421167,2774.304167,76.64377917,1.100604258,69.575,147.5551125,1880.9885,88.25352833,11.74647142,1.008820608,0.80589524,1002.320268,350.3584071,120.1171977,76.88025096,474.0902745,4.385865818,0.130593686,19.07070546,25.25787437,135.2552837,1.269260927,1.269261593,0.107461448,0.074558536,87.31712342,37.84135351,120,120,AC
451,neurons-009,66,cell,342.0636364,483.2317091,2627.226727,77.03312182,1.104700818,78.07272727,103.3402636,1823.258818,89.34477273,10.65522882,1.001654591,0.805498403,965.394155,286.4666865,95.65489166,50.25202529,347.8394403,3.882455472,0.121288365,16.91517374,22.50788839,141.7343333,2.252144479,2.252143558,0.117853783,0.056596681,51.11110771,61.80922961,110,110,AC
461,neurons-009,66,cyto,342.0636364,483.2317091,2627.226727,77.03312182,1.104700818,78.07272727,103.3402636,1823.258818,89.34477273,10.65522882,1.001654591,0.805498403,965.394155,286.4666865,95.65489166,50.25202529,347.8394403,3.882455472,0.121288365,16.91517374,22.50788839,141.7343333,2.252144479,2.252143558,0.117853783,0.056596681,51.11110771,61.80922961,110,110,AC
471,neurons-009,76,cell,348.2987013,487.9674805,2627.052857,75.02635065,1.128903383,84.05194805,135.360311,1821.174675,87.55878896,12.44121052,1.065980208,0.789470841,1004.294357,344.2110291,141.3040633,73.15021049,467.6129526,5.723645092,0.15555935,32.17391307,23.56512114,165.9158255,1.780318412,1.78031934,0.101360535,0.08951225,97.47043417,48.05511531,154,146,AC
48,neurons-009,76,cyto,350.5410959,484.6031027,2638.401164,75.0218089,1.13176826,85.11643836,135.6686705,1824.256233,87.58327192,12.41672753,1.062413301,0.788327206,1003.967949,344.4143145,142.1005048,70.71166114,474.8102692,5.787672052,0.158054043,32.55287694,24.10562487,169.0095857,1.823343687,1.823344636,0.100346478,0.090497519,99.53802786,49.2465124,146,146,AC
49,neurons-009,85,cell,360.3835616,495.2006438,2673.465205,76.99317534,1.087967205,106.4246575,132.4000808,1795.483836,86.77234932,13.22765068,1.017130411,0.755119808,989.2520046,351.973676,158.0876717,52.82833457,328.1870792,3.808638839,0.10476676,30.31405881,27.17473891,126.5926226,1.103737509,1.103737509,0.125980359,0.07336907,74.24146113,44.2460494,73,61,AC
50,neurons-009,85,cyto,377.1311475,484.9535902,2602.760328,76.19851148,1.100524705,107.9508197,132.8581623,1787.896393,86.74266721,13.25733279,1.027427508,0.76020409,984.4821686,352.1143184,163.7225779,44.0336287,232.3899916,3.328321436,0.10371002,30.30809915,28.85813674,119.9726308,1.065708439,1.065708439,0.133480874,0.073723658,53.77783685,47.52013154,61,61,AC
511,neurons-009,9,cell,358.0848214,493.7315357,2722.66317,72.58474777,1.110496647,113.9151786,133.0118348,1825.118795,87.26525938,12.7347408,1.049673518,0.758593719,1098.241007,347.6436777,100.9874873,80.25196406,387.2893607,5.997579423,0.127079661,59.98607418,18.64902017,113.5286626,1.521389293,1.521388976,0.102487762,0.089747968,158.1140131,37.29812238,224,215,AC
521,neurons-009,9,cyto,360.0186047,493.3551349,2723.359767,72.43186233,1.113444181,115.2976744,132.8651023,1828.804093,87.2977214,12.70227879,1.048229047,0.758099287,1101.53719,347.5300824,98.65634505,79.73126575,391.2188248,6.012068022,0.126620697,60.7812436,18.72052186,110.3050084,1.486210829,1.486210496,0.102770695,0.090389083,160.151622,37.77476128,215,215,AC
